,Name,Height,Width,Average lightness,Average saturation,Pixels with hue in the [0/12 - 1/12] range,Pixels with hue in the [1/12 - 2/12] range,Pixels with hue in the [2/12 - 3/12] range,Pixels with hue in the [3/12 - 4/12] range,Pixels with hue in the [4/12 - 5/12] range,Pixels with hue in the [5/12 - 6/12] range,Pixels with hue in the [6/12 - 7/12] range,Pixels with hue in the [7/12 - 8/12] range,Pixels with hue in the [8/12 - 9/12] range,Pixels with hue in the [9/12 - 10/12] range,Pixels with hue in the [10/12 - 11/12] range,Pixels with hue in the [11/12 - 12/12] range
0,0ceeee70574721.5ba880832b068.jpg,1634,1200,0.4149578833347151,0.4695274604227837,463519,1056221,38566,5469,2200,13928,3047,13410,14493,2882,16335,330730
1,1.jpg,400,320,0.46657866115191615,0.5585676248104922,57953,23253,1423,2166,4853,3688,5379,4614,673,354,706,22938
2,5658a73abbf4d.image.jpg,746,594,0.3900311929686062,0.6426114701076358,230219,8122,1391,756,702,2160,9482,21651,16815,11194,15620,125012
3,akhilesh-yadav-on-the-cover-of-india-today-magazine-201606-1464939804-433x650.jpg,650,433,0.20880051135755298,0.2785502489555793,166111,7141,2451,12491,13978,25586,7783,11243,2665,2915,8964,20122
4,c2efbe9cf1b7457f2b24003c04e6e590.jpg,1144,843,0.47170778045048495,0.27970936981717603,505255,90175,117860,13848,8721,17293,2813,7139,2585,2423,8007,188273
5,"india-today-december-26,-2011---anniversary-issue-makers--and--breakers-of-modern-india_121312014513.jpg",543,389,0.4721643484192382,0.24862090854685584,56666,68993,21428,2534,1601,4500,15115,7451,379,280,1410,30870
6,IN_INDIATO2014MTH05DT2601_B.jpg,1054,760,0.47837221660764206,0.5445547782177865,78604,267105,27687,27675,47211,214272,4473,2627,1324,953,10509,118600
7,modi13_650_122112035215.jpg,543,390,0.5379751154370295,0.49286253699302246,73612,33685,9000,8230,12030,4242,4800,9994,17046,2629,6416,30086
8,modi1_650_122112042518.jpg,543,391,0.6409957717809295,0.5056102092640945,88758,15123,6470,5878,4522,10518,10422,6453,2690,1525,4013,55941
9,modi2_650_122112035215.jpg,543,389,0.5737056787804643,0.5521008410745174,82280,8893,3581,21630,20255,5541,3967,9845,4837,4837,7424,38137
10,modi3_650_122112035215.jpg,543,390,0.40889987935486183,0.5463407482404372,54674,10941,8307,29317,46993,14009,978,777,255,317,1624,43578
11,modi4_650_122112035215.jpg,543,391,0.4962735188511247,0.23334313922603767,78303,6152,889,206,285,1006,940,14329,57152,6664,13288,33099
12,page_1.jpg,1494,1079,0.42938899710642014,0.5270258255161144,1114815,170215,5502,3253,2884,15893,760,3071,627,2668,15950,276388
13,rahul1-1_012513112423.jpg,543,385,0.5870197213326552,0.43551167645642175,70341,48084,7990,1392,1090,3821,9792,25321,8787,982,1741,29714
14,rahul4-1_012513112423.jpg,543,384,0.5661663710141489,0.3144562173902813,41509,7688,847,936,1555,5254,6541,21565,10172,22359,32613,57473
15,rahul5-1_012513112423.jpg,543,391,0.5333783833580599,0.528378839075315,80856,37804,15052,4394,7722,10049,2960,3192,3324,1177,3209,42574
16,rahul6-1_012513112423.jpg,543,377,0.605371388703943,0.37034599472297813,105826,18061,3449,1713,1744,4629,6035,9218,5220,1214,4072,43530
